p2a_overall_rank,security_id,stock_code_5d,security_name,candidate_tier,candidate_status,as_of_date,primary_sleeve,valuation_support_state,thesis_strength,investment_thesis,principal_falsifier,monitor_triggers,ah_pair_status,ah_relative_value_direction,h_discount_to_a_pct,material_confidence_cap_count,bounded_confidence_cap_count,p3_1_proposal_state,formal_candidate_graduation,portfolio_allocation_authorized,simulation_admission_authorized,real_account_admission_authorized,orders_created,trade_authority
39,HKEX:00819,00819,TIANNENG POWER,WATCH,ACTIVE,2026-08-07,HIGH_DIVIDEND_VALUE,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=HIGH_DIVIDEND_VALUE; accepted GOVERNANCE_VALUE_TRAP evidence is mixed and requires disciplined monitoring: AUDITOR_CHANGE_OR_AUDIT_GOVERNANCE_EVENT.,Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Post-completion economic impact and next unresolved event..,"Post-completion financial impact or new corporate action. | Next results/guidance release or reliable consensus-revision update. | Auditor transition disclosures, qualified opinion/control finding, or additional audit-committee change.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
40,HKEX:01038,01038,CKI HOLDINGS,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=DEFENSIVE_STABILITY; accepted CATALYST evidence is mixed and requires disciplined monitoring: ACTIVE_STRATEGIC_TRANSACTION.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Consideration, valuation/fairness, completion conditions, proceeds use and earnings impact..","Completion, termination, regulatory approval or quantified proceeds/earnings effect. | Next current-period results/guidance or consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
41,HKEX:01398,01398,ICBC,WATCH,ACTIVE,2026-08-07,TREND_LIQUIDITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=TREND_LIQUIDITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: NO_QUALIFYING_ACTIVE_CATALYST.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Reliable dated consensus revisions or explicit management guidance; trailing/actual results must not substitute..,"New company-specific catalyst disclosure. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",TRUE_AH_PAIR,H_DISCOUNT_TO_A,21.8371,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
42,HKEX:03939,03939,WANGUO GOLD GP,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=QUALITY_COMPOUNDER; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: FRESH_H1_2026_POSITIVE_PROFIT_ALERT.,"Principal downside/falsifier: unresolved GOVERNANCE_VALUE_TRAP uncertainty; required evidence: Board independence, committee composition and subsequent governance effectiveness evidence..","Operational interruption, material remediation cost, broader geotechnical failure, injury or construction delay. | H1 interim results, material deviation from the alert, or evidence that growth is not translating into sustainable cash earnings. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
43,HKEX:00066,00066,MTR CORPORATION,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=DEFENSIVE_STABILITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: NO_QUALIFYING_ACTIVE_CATALYST.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Current-period results/guidance or reliable dated consensus revisions..,"New company-specific catalyst disclosure. | Next current-period results/guidance or consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
44,HKEX:02269,02269,WUXI BIO,WATCH,ACTIVE,2026-08-07,TREND_LIQUIDITY,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=TREND_LIQUIDITY; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: PRIMARY_EVIDENCE_COMPLETE.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Trend versus prior period, margin/earnings translation and management guidance..","Next operating update and formal results. | New issuer disclosure or material company-specific event. | New connected transaction, cap increase, independent-board objection or material completion update.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
45,HKEX:00001,00001,CKH HOLDINGS,WATCH,ACTIVE,2026-08-07,TREND_LIQUIDITY,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=TREND_LIQUIDITY; accepted CATALYST evidence is mixed and requires disciplined monitoring: ACTIVE_STRATEGIC_TRANSACTION.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Consideration, valuation/fairness, completion conditions, proceeds use and earnings impact..","Completion, termination, regulatory approval or quantified proceeds/earnings effect. | Next current-period results/guidance or consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
46,HKEX:02400,02400,XD INC,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=QUALITY_COMPOUNDER; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: PRIMARY_EVIDENCE_COMPLETE.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Quantified impact, completion/status and valuation transmission..","Next issuer update on event status or economics. | New issuer disclosure or material company-specific event. | New auditor, related-party, control, board or capital-allocation event.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
47,HKEX:02145,02145,CHICMAX,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=QUALITY_COMPOUNDER; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: PRIMARY_EVIDENCE_COMPLETE.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Quantified impact, completion/status and valuation transmission..","Next issuer update on event status or economics. | New issuer disclosure or material company-specific event. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
48,HKEX:02698,02698,SOFTCARE,CORE,ACTIVE,2026-08-07,RECOVERY_WATCH,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=RECOVERY_WATCH; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: PRIMARY_EVIDENCE_COMPLETE.,Principal downside/falsifier: a new adverse issuer disclosure that invalidates the accepted CATALYST finding.,"Formal interim/final result and management explanation of profit drivers. | New issuer disclosure or material company-specific event. | New auditor, related-party, control, board or capital-allocation event.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,0,PROPOSE_CORE_CANDIDATE,True,False,False,False,0,NONE
49,HKEX:00316,00316,OOIL,WATCH,ACTIVE,2026-08-07,HIGH_DIVIDEND_VALUE,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=HIGH_DIVIDEND_VALUE; accepted CATALYST evidence is mixed and requires disciplined monitoring: ACTIVE_STRATEGIC_TRANSACTION.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Consideration, valuation/fairness, completion conditions, proceeds use and earnings impact..","Completion, termination, regulatory approval or quantified proceeds/earnings effect. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
50,HKEX:02314,02314,LEE & MAN PAPER,WATCH,ACTIVE,2026-08-07,RECOVERY_WATCH,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=RECOVERY_WATCH; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: PRIMARY_EVIDENCE_COMPLETE.,"Principal downside/falsifier: unresolved GOVERNANCE_VALUE_TRAP uncertainty; required evidence: Pricing/fairness basis, independent-board opinion, transaction caps, economic materiality and recurring exposure..","Formal interim/final result and management explanation of profit drivers. | New issuer disclosure or material company-specific event. | New connected transaction, cap increase, independent-board objection or material completion update.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
51,HKEX:01318,01318,MAO GEPING,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=QUALITY_COMPOUNDER remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: EVENT_LARGELY_COMPLETED_LIMITED_FORWARD_CATALYST.,Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Post-completion economic impact and next unresolved event..,"Post-completion financial impact or new corporate action. | Next current-period results/guidance or consensus-revision update. | New auditor, related-party, control, board or capital-allocation event.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
52,HKEX:03311,03311,CHINA STATE CON,WATCH,ACTIVE,2026-08-07,HIGH_DIVIDEND_VALUE,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=HIGH_DIVIDEND_VALUE; accepted CATALYST evidence is mixed and requires disciplined monitoring: ACTIVE_STRATEGIC_TRANSACTION.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Consideration, valuation/fairness, completion conditions, proceeds use and earnings impact..","Completion, termination, regulatory approval or quantified proceeds/earnings effect. | Next results/guidance release or reliable consensus-revision update. | New connected transaction, cap increase, independent-board objection or material completion update.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
53,HKEX:00992,00992,LENOVO GROUP,WATCH,ACTIVE,2026-08-07,TREND_LIQUIDITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=TREND_LIQUIDITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: ACTIVE_EVENT_REQUIRES_MONITORING.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Quantified impact, completion/status and valuation transmission..","Next issuer update on event status or economics. | Next results/guidance release or reliable consensus-revision update. | New auditor, related-party, control, board or capital-allocation event.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
54,HKEX:00939,00939,CCB,WATCH,ACTIVE,2026-08-07,TREND_LIQUIDITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=TREND_LIQUIDITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: NO_QUALIFYING_ACTIVE_CATALYST.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Reliable dated consensus revisions or explicit management guidance; trailing/actual results must not substitute..,"New company-specific catalyst disclosure. | Next results/guidance release or reliable consensus-revision update. | New auditor, related-party, control, board or capital-allocation event.",TRUE_AH_PAIR,H_DISCOUNT_TO_A,32.3498,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
55,HKEX:00917,00917,QUNABOX GROUP,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=QUALITY_COMPOUNDER; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: PRIMARY_EVIDENCE_COMPLETE.,"Principal downside/falsifier: unresolved GOVERNANCE_VALUE_TRAP uncertainty; required evidence: Audit-change rationale, predecessor/successor auditor statements, control findings and audit-committee oversight..","New company-specific catalyst disclosure. | New issuer disclosure or material company-specific event. | Auditor transition disclosures, qualified opinion/control finding, or additional audit-committee change.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
56,HKEX:02331,02331,LI NING,WATCH,ACTIVE,2026-08-07,HIGH_DIVIDEND_VALUE,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=HIGH_DIVIDEND_VALUE; accepted GOVERNANCE_VALUE_TRAP evidence is mixed and requires disciplined monitoring: RELATED_PARTY_OR_CONNECTED_TRANSACTION_REVIEW_REQUIRED.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Reliable dated consensus revisions or explicit management guidance; trailing/actual results must not substitute..,"New company-specific catalyst disclosure. | Next results/guidance release or reliable consensus-revision update. | New connected transaction, cap increase, independent-board objection or material completion update.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
57,HKEX:00788,00788,CHINA TOWER,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=DEFENSIVE_STABILITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: NO_QUALIFYING_ACTIVE_CATALYST.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Reliable dated consensus revisions or explicit management guidance; trailing/actual results must not substitute..,"New company-specific catalyst disclosure. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
58,HKEX:00386,00386,SINOPEC CORP,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=DEFENSIVE_STABILITY; accepted GOVERNANCE_VALUE_TRAP evidence is mixed and requires disciplined monitoring: RELATED_PARTY_OR_CONNECTED_TRANSACTION_REVIEW_REQUIRED.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Quantified impact, completion/status and valuation transmission..","Next issuer update on event status or economics. | Next results/guidance release or reliable consensus-revision update. | New connected transaction, cap increase, independent-board objection or material completion update.",TRUE_AH_PAIR,H_DISCOUNT_TO_A,35.1346,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
59,HKEX:09696,09696,TIANQI LITHIUM,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=QUALITY_COMPOUNDER; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: H1_2026_INTERIM_FORECAST_STRONG_POSITIVE.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Quantified impact, completion/status and valuation transmission..","Next issuer update on event status or economics. | Interim results outside the forecast range, lithium-price reversal, or a material SQM estimate reconciliation. | New auditor, related-party, control, board or capital-allocation event.",TRUE_AH_PAIR,H_DISCOUNT_TO_A,54.5631,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
60,HKEX:09911,09911,NEWBORNTOWN,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=QUALITY_COMPOUNDER; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: H1_2026_REVENUE_GROWTH_WITHOUT_PROFIT_GUIDANCE.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Quantified impact, completion/status and valuation transmission..","Next issuer update on event status or economics. | H1 results, material margin deterioration, user-growth reversal or new profit guidance. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
61,HKEX:06186,06186,CHINA FEIHE,WATCH,ACTIVE,2026-08-07,HIGH_DIVIDEND_VALUE,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=HIGH_DIVIDEND_VALUE; accepted CATALYST evidence is mixed and requires disciplined monitoring: ACTIVE_STRATEGIC_TRANSACTION.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Consideration, valuation/fairness, completion conditions, proceeds use and earnings impact..","Completion, termination, regulatory approval or quantified proceeds/earnings effect. | Next current-period results/guidance or consensus-revision update. | New connected transaction, cap increase, independent-board objection or material completion update.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
62,HKEX:01208,01208,MMG,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=QUALITY_COMPOUNDER; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: CURRENT_OPERATING_AND_COST_GUIDANCE_IMPROVEMENT_NO_PROFIT_REVISION.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Consideration, valuation/fairness, completion conditions, proceeds use and earnings impact..","Completion, termination, regulatory approval or quantified proceeds/earnings effect. | Interim results, material production-guidance change, cost-guidance reversal or acquisition-funding impact. | New connected transaction, cap increase, independent-board objection or material completion update.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
63,HKEX:01186,01186,CHINA RAIL CONS,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=DEFENSIVE_STABILITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: ACTIVE_EVENT_REQUIRES_MONITORING.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Quantified impact, completion/status and valuation transmission..","Next issuer update on event status or economics. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",TRUE_AH_PAIR,H_DISCOUNT_TO_A,54.8738,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
64,HKEX:02687,02687,ABLE DIGITAL,WATCH,ACTIVE,2026-08-07,RECOVERY_WATCH,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=RECOVERY_WATCH remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: ACTIVE_EVENT_REQUIRES_MONITORING.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Quantified impact, completion/status and valuation transmission..","Next issuer update on event status or economics. | Next current-period results/guidance or consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
65,HKEX:02157,02157,LEPU BIO,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=QUALITY_COMPOUNDER; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: PRIMARY_EVIDENCE_COMPLETE.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Quantified impact, completion/status and valuation transmission..","Next issuer update on event status or economics. | New issuer disclosure or material company-specific event. | New auditor, related-party, control, board or capital-allocation event.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
66,HKEX:03759,03759,PHARMARON,WATCH,ACTIVE,2026-08-07,RECOVERY_WATCH,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=RECOVERY_WATCH; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: DIRECT_POSITIVE_H1_2026_RESULTS_ESTIMATE.,"Principal downside/falsifier: unresolved GOVERNANCE_VALUE_TRAP uncertainty; required evidence: Board independence, committee composition and subsequent governance effectiveness evidence..","Formal H1 results or any revision to the July 13 estimate. | Formal H1 results, material change in order growth, margin conversion or revised management estimate. | Further director turnover, committee reconstitution or governance-control disclosure.",TRUE_AH_PAIR,H_DISCOUNT_TO_A,90.3586,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
68,HKEX:00371,00371,BJ ENT WATER,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=DEFENSIVE_STABILITY; accepted GOVERNANCE_VALUE_TRAP evidence is mixed and requires disciplined monitoring: RELATED_PARTY_OR_CONNECTED_TRANSACTION_REVIEW_REQUIRED.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Current-period results/guidance or reliable dated consensus revisions..,"New company-specific catalyst disclosure. | Next current-period results/guidance or consensus-revision update. | New connected transaction, cap increase, independent-board objection or material completion update.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
69,HKEX:01364,01364,GUMING,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=QUALITY_COMPOUNDER; accepted CATALYST evidence is positive: CAPITAL_RETURN_SIGNAL.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Repurchase scale, pace, valuation discipline and cancellation/treasury treatment..","Material acceleration/cessation of buybacks or capital-return policy change. | Next current-period results/guidance or consensus-revision update. | New connected transaction, cap increase, independent-board objection or material completion update.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
71,HKEX:01044,01044,HENGAN INT'L,WATCH,ACTIVE,2026-08-07,HIGH_DIVIDEND_VALUE,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=HIGH_DIVIDEND_VALUE; accepted CATALYST evidence is positive: CAPITAL_RETURN_SIGNAL.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Repurchase scale, pace, valuation discipline and cancellation/treasury treatment..","Material acceleration/cessation of buybacks or capital-return policy change. | Next current-period results/guidance or consensus-revision update. | Successor appointment, strategy reset, control remediation or additional senior departure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
73,HKEX:03328,03328,BANKCOMM,WATCH,ACTIVE,2026-08-07,TREND_LIQUIDITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=TREND_LIQUIDITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: NO_QUALIFYING_ACTIVE_CATALYST.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Reliable dated consensus revisions or explicit management guidance; trailing/actual results must not substitute..,"New company-specific catalyst disclosure. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",TRUE_AH_PAIR,H_DISCOUNT_TO_A,10.185,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
74,HKEX:02099,02099,CHINAGOLDINTL,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=QUALITY_COMPOUNDER remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: ACTIVE_EVENT_REQUIRES_MONITORING.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Quantified impact, completion/status and valuation transmission..","Next issuer update on event status or economics. | Next results/guidance release or reliable consensus-revision update. | New auditor, related-party, control, board or capital-allocation event.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
75,HKEX:03339,03339,LONKING,CORE,ACTIVE,2026-08-07,HIGH_DIVIDEND_VALUE,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=HIGH_DIVIDEND_VALUE; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: PRIMARY_EVIDENCE_COMPLETE.,Principal downside/falsifier: a new adverse issuer disclosure that invalidates the accepted CATALYST finding.,"Formal interim/final result and management explanation of profit drivers. | New issuer disclosure or material company-specific event. | New auditor, related-party, control, board or capital-allocation event.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,0,PROPOSE_CORE_CANDIDATE,True,False,False,False,0,NONE
76,HKEX:00392,00392,BEIJING ENT,WATCH,ACTIVE,2026-08-07,HIGH_DIVIDEND_VALUE,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=HIGH_DIVIDEND_VALUE; accepted CATALYST evidence is mixed and requires disciplined monitoring: ACTIVE_STRATEGIC_TRANSACTION.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Consideration, valuation/fairness, completion conditions, proceeds use and earnings impact..","Completion, termination, regulatory approval or quantified proceeds/earnings effect. | Next current-period results/guidance or consensus-revision update. | New connected transaction, cap increase, independent-board objection or material completion update.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
77,HKEX:02799,02799,CITIC FAMC,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=QUALITY_COMPOUNDER remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: NO_QUALIFYING_ACTIVE_CATALYST.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Current-period results/guidance or reliable dated consensus revisions..,"New company-specific catalyst disclosure. | Next current-period results/guidance or consensus-revision update. | Successor appointment, strategy reset, control remediation or additional senior departure.",NOT_APPLICABLE_DOMESTIC_H_ONLY,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
