rule_id,domain,final_status,target_module,source_file,source_layer,audit_status,priority,resolution,executor,user_decision_required,schema_version
POR-005,Risk,ACTIVE,investment_os_runtime/10_CORE_STATIC/05_SIMULATION_GOVERNANCE.md,103_EXIT_AND_RISK_CONTROL_SYSTEM.md,ARCHIVE,MERGE,P0,抽取为Exit & Risk Review Standard。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
POR-006,Migration,ACTIVE,investment_os_runtime/10_CORE_STATIC/05_SIMULATION_GOVERNANCE.md,07_CAPITAL_MIGRATION...,ACTIVE_KERNEL,KEEP,P0,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
POR-007,RealGate,ACTIVE,investment_os_runtime/10_CORE_STATIC/06_PORTFOLIO_POSITION_AND_CAPITAL_MIGRATION.md,07_CAPITAL_MIGRATION...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P0,修订术语与Schema。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
POR-008,Path,ACTIVE,investment_os_runtime/10_CORE_STATIC/06_PORTFOLIO_POSITION_AND_CAPITAL_MIGRATION.md,100_REAL_ACCOUNT... / 09 runtime,ARCHIVE_ACTIVE_CONFLICT,REPAIR,P0,WP1-4形成三路径准入设计。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,YES,1.0.0
POR-009,Duplication,ACTIVE,investment_os_runtime/10_CORE_STATIC/06_PORTFOLIO_POSITION_AND_CAPITAL_MIGRATION.md,FMDL7A cross-market review,GITHUB,MISSING,P1,建立Look-through Exposure与Duplication规则。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
POR-010,Writeback,ACTIVE,investment_os_runtime/10_CORE_STATIC/07_DECISION_PRETRADE_CONFIRMATION_AND_WRITEBACK.md,18_POSITION_CHANGE_POLICY.md,ARCHIVE,MERGE,P0,重建State Mutation & Writeback Standard。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
POR-011,PreTrade,ACTIVE,investment_os_runtime/10_CORE_STATIC/07_DECISION_PRETRADE_CONFIRMATION_AND_WRITEBACK.md,10_RESPONSE_PRETRADE... + 17_PRE_TRADE...,ACTIVE_ARCHIVE,MERGE,P0,建立统一Pre-trade Memo Schema。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
POR-012,Execution,ACTIVE,investment_os_runtime/10_CORE_STATIC/07_DECISION_PRETRADE_CONFIRMATION_AND_WRITEBACK.md,multiple,ALL,KEEP,P0,永久保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
POR-013,Review,ACTIVE,investment_os_runtime/10_CORE_STATIC/04_RESEARCH_AND_CANDIDATE_GOVERNANCE.md,19_INVESTMENT_REVIEW_STANDARD.md,ARCHIVE,MERGE,P1,并入Attribution/Review标准。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ATT-001,Attribution,ACTIVE,investment_os_runtime/10_CORE_STATIC/08_ATTRIBUTION_REVIEW_AND_RULE_CALIBRATION.md,13_ATTRIBUTION...,ACTIVE_KERNEL,KEEP,P0,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ATT-002,Attribution,ACTIVE,investment_os_runtime/10_CORE_STATIC/08_ATTRIBUTION_REVIEW_AND_RULE_CALIBRATION.md,13_ATTRIBUTION...,ACTIVE_KERNEL,KEEP,P0,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ATT-003,Outputs,ACTIVE,investment_os_runtime/10_CORE_STATIC/08_ATTRIBUTION_REVIEW_AND_RULE_CALIBRATION.md,13_ATTRIBUTION...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P1,扩展全链条归因对象。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ATT-004,Candidate,ACTIVE,investment_os_runtime/10_CORE_STATIC/08_ATTRIBUTION_REVIEW_AND_RULE_CALIBRATION.md,FMDL7C limitation,GITHUB,MERGE,P0,并入Candidate Attribution Gate。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ATT-005,Calibration,ACTIVE,investment_os_runtime/10_CORE_STATIC/08_ATTRIBUTION_REVIEW_AND_RULE_CALIBRATION.md,13_ATTRIBUTION...,ACTIVE_KERNEL,REPAIR,P1,改为多期、多案例、正反证据、回放和用户批准。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ATT-006,Calibration,ACTIVE,investment_os_runtime/10_CORE_STATIC/08_ATTRIBUTION_REVIEW_AND_RULE_CALIBRATION.md,17_FMDL4... / 107 monthly protocol,ACTIVE_ARCHIVE,KEEP,P0,保留并结构化变更提案流程。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ATT-007,Migration,ACTIVE,investment_os_runtime/10_CORE_STATIC/05_SIMULATION_GOVERNANCE.md,13/100/101,MIXED,REPAIR,P1,定义主动个股迁移、配置工具和已有持仓复核的不同门槛。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,YES,1.0.0
ATT-008,AnnualReview,ACTIVE,investment_os_runtime/10_CORE_STATIC/08_ATTRIBUTION_REVIEW_AND_RULE_CALIBRATION.md,N/A,MISSING,MISSING,P1,建立Annual Strategy & System Review。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
OPS-001,Cadence,ACTIVE,investment_os_runtime/10_CORE_STATIC/09_OPERATIONS_EVENT_AND_PRODUCT_STANDARD.md,14_PRODUCTION...,ACTIVE_KERNEL,REPAIR,P0,统一日/周/月/季/年/事件六类职责。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
OPS-002,Cadence,ACTIVE,investment_os_runtime/10_CORE_STATIC/09_OPERATIONS_EVENT_AND_PRODUCT_STANDARD.md,21/40/107 reference/archive,REFERENCE_ARCHIVE,MERGE,P1,合并为Operating Product Contract。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
OPS-003,Event,ACTIVE,investment_os_runtime/10_CORE_STATIC/09_OPERATIONS_EVENT_AND_PRODUCT_STANDARD.md,N/A,MISSING,MISSING,P0,建立Event-driven Operating Standard和Schema。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
OPS-004,Production,ACTIVE,investment_os_runtime/10_CORE_STATIC/09_OPERATIONS_EVENT_AND_PRODUCT_STANDARD.md,FMDL7D workflow,GITHUB,REPAIR,P0,WP1-3映射执行路径，WP2/WP6激活真实产品发布。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
OPS-005,Observation,ACTIVE,investment_os_runtime/10_CORE_STATIC/09_OPERATIONS_EVENT_AND_PRODUCT_STANDARD.md,14_PRODUCTION...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P2,转为WP7试点验收周期。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
OPS-006,Recovery,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,FMDL7E clean-room,GITHUB,MERGE,P0,并入80_RECOVERY。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
OPS-007,Testing,ACTIVE,investment_os_runtime/10_CORE_STATIC/09_OPERATIONS_EVENT_AND_PRODUCT_STANDARD.md,14_PRODUCTION...,ACTIVE_KERNEL,KEEP,P0,保留。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
OPS-008,Plan,ACTIVE,investment_os_runtime/10_CORE_STATIC/09_OPERATIONS_EVENT_AND_PRODUCT_STANDARD.md,MASTER_PLAN_AND_STATUS_CURRENT,NEW_EXTERNAL,MERGE,P1,WP1-5纳入00_CONTROL。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ENG-001,Engine,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,11_EXECUTABLE_DECISION_ENGINE_STANDARD.md,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P1,定义Deterministic Control Engine + Research Judgment双层架构。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ENG-002,Engine,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,11_EXECUTABLE... / engine source,ACTIVE_ENGINE,REPAIR,P0,增加Market Binding、Event、Operations和Recovery输入接口。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ENG-003,Version,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,CORE_STATIC files and schemas,ALL_CORE,REPAIR,P0,统一新Canonical schema/version并建立迁移器。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ENG-004,Duplication,ACTIVE,investment_os_runtime/10_CORE_STATIC/06_PORTFOLIO_POSITION_AND_CAPITAL_MIGRATION.md,CORE embedded engine + separate Production Engine,RELEASE8,MERGE,P1,新版Canonical只保留一个权威引擎，运行包使用指针/哈希绑定。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ENG-005,Regression,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,run_regression_tests.py,ENGINE,REPAIR,P0,WP1-5修复代码/State原子元数据/测试基线后要求39/39或新版全套PASS。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ENG-006,Runtime,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,engine replay,ENGINE_STATE,REPAIR,P0,重建State Manifest和行级原子元数据并重新回放。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ENG-007,Tests,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,test_engine_regression.py,ENGINE,REPAIR,P0,按新Canonical契约重写golden fixtures和语义测试。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ENG-008,DecisionSchema,ACTIVE,investment_os_runtime/10_CORE_STATIC/07_DECISION_PRETRADE_CONFIRMATION_AND_WRITEBACK.md,decision_object.schema.json,SCHEMA,KEEP_WITH_CLARIFICATION,P1,扩展但保留三字段分离。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ENG-009,Authority,ACTIVE,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,action_enum / decision schema,SCHEMA,REPAIR,P1,改为USER_CONFIRMED_MANUAL_EXECUTION或明确仅为用户授权状态。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ENG-010,Schema,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,N/A,MISSING,MISSING,P0,WP1-4设计，WP1-5实现。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ENG-011,Network,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,09_DECISION_PIPELINE...,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P2,明确Offline Decision Runtime与Online Evidence Production分层。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
ENG-012,Artifacts,DEPRECATED_SUCCESSOR_BOUND,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,__pycache__/*.pyc,ENGINE,DEPRECATE,P2,新版包排除pyc，仅保留源码、锁定依赖和测试。,RECOVERY_ARCHIVE,NO,1.0.0
ENG-013,FMDLIntegration,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,30_FMDL4_INTEGRATION/*,CORE,REPAIR,P0,用统一Market Capability Binding替代阶段文件嵌入。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
